img_path,question,answer,main_obj,Triple,Abstract
/home/aailab/kbvqa/data/images/110200720220621132140.jpg,프레첼은 무슨 과자에 속할까,양과자,프레첼,"['프레첼', 'subject', '양과자']",
/home/aailab/kbvqa/data/images/110400120220621174731.jpg,철도나 도로에 있어서 교통 안전 확보를 위한 장치는 무엇일까,신호등,신호등,"['신호등', 'subject', '신호등']",신호등
/home/aailab/kbvqa/data/images/110200820220621142828.jpg,이미지 속 캐나다 요리는 뭐야,도넛,도넛,"['도넛', 'subject', '캐나다_요리']",
/home/aailab/kbvqa/data/images/110200820220621143016.jpg,이미지 안 영국에서 만들어진 요리는 뭐야,도넛,도넛,"['도넛', 'subject', '영국_요리']",
/home/aailab/kbvqa/data/images/110200320220621155908.jpg,햄버거는 무슨 음식이니,길거리 음식,햄버거,"['햄버거', 'subject', '길거리_음식']",
/home/aailab/kbvqa/data/images/110200720220621133649.jpg,이미지 속 가축은 뭐야,당나귀,프레첼,"['당나귀', 'subject', '가축']",
/home/aailab/kbvqa/data/images/110101620220620154932.jpg,트럼펫은 무슨 악기야,기명악기,트럼펫,"['트럼펫', 'subject', '기명악기']",
/home/aailab/kbvqa/data/images/110101020220621115115.jpg,이미지 속 현명악기는 어떤 나라의 상징이야,아일랜드,하프,"['하프', 'subject', '현명악기']=['하프', 'subject', '아일랜드의_상징']",
/home/aailab/kbvqa/data/images/110100120220620140906.jpg,기명악기에 속하는 악기는 무엇이니,아코디언,아코디언,"['아코디언', 'subject', '기명악기']",
/home/aailab/kbvqa/data/images/120100420220622173631.jpg,잠자리는 무엇에 속하는 동물이니,유시아강,잠자리,"['잠자리', '아강', '유시아강']",
/home/aailab/kbvqa/data/images/110200320220621160416.jpg,이미지 속 독일 요리는 무엇이야,햄버거,햄버거,"['햄버거', 'subject', '독일_요리']",
/home/aailab/kbvqa/data/images/120100120220622144442.jpg,개미는 무엇에 속한 동물일까,말벌상과,개미,"['개미', '상과', '말벌상과']",
/home/aailab/kbvqa/data/images/110200920220621144412.jpg,이미지 속 프랑스 요리는 뭐야,케이크,케이크,"['케이크', 'subject', '프랑스_요리']",
/home/aailab/kbvqa/data/images/110100520220620181206.jpg,드럼은 무슨 악기야,타악기,드럼_세트,"['드럼_세트', 'subject', '타악기']",
/home/aailab/kbvqa/data/images/110101720220620182739.jpg,이미지 속 바이올린은 무슨 악기지,현명악기,바이올린,"['바이올린', 'subject', '현명악기']",
/home/aailab/kbvqa/data/images/110200320220621153216.jpg,이미지 안 햄버거 종류인 음식은 어디에 속하니,길거리 음식,햄버거,"['햄버거', 'subject', '길거리_음식']=['햄버거', 'subject', '햄버거']",
/home/aailab/kbvqa/data/images/110200520220621170013.jpg,이미지 속 음식은 어느 나라 요리일까,이탈리아,피자,"['피자', 'subject', '이탈리아_요리']",
/home/aailab/kbvqa/data/images/120100120220622140712.jpg,개미는 다른 생물과 무엇을 하는 곤충이야,공생,개미,"['개미', 'subject', '공생']",
/home/aailab/kbvqa/data/images/110101220220620154024.jpg,오보에의 관의 길이는 몇 이야,70,오보에,"['오보에', 'subject', '오보에']",오보에
/home/aailab/kbvqa/data/images/120100220220624114845.jpg,벌은 무슨 동물이니,절지동물,벌_(곤충),"['벌_(곤충)', '문', '절지동물']",
/home/aailab/kbvqa/data/images/110101420220620135005.jpg,1840년대 초에 아돌프 삭스가 발명한 악기는 뭐야,색소폰,색소폰,"['색소폰', 'subject', '색소폰']",색소폰
/home/aailab/kbvqa/data/images/110300120220621163419.jpg,참고 자료 등을 덧붙여 묶은 물건은 뭐니,책,책,"['책', 'subject', '책']",책
/home/aailab/kbvqa/data/images/120100420220622183136.jpg,이미지 속 잠자리목 절지동물은 무엇일까,잠자리,잠자리,"['잠자리', '문', '절지동물']",
/home/aailab/kbvqa/data/images/120100220220622153839.jpg,벌은 무엇에 해당하는 곤충일까,꿀벌상과,벌_(곤충),"['벌_(곤충)', '상과', '꿀벌상과']",
/home/aailab/kbvqa/data/images/110500220220622141144.jpg,이미지 속에서 건축물에 해당하는 건 뭐야,문,문,"['문', 'subject', '건축물']",
/home/aailab/kbvqa/data/images/110400220220621141535.jpg,이미지 속 도로 시설물은 뭐야,소화전,소화전,"['소화전', 'subject', '도로_시설물']",
/home/aailab/kbvqa/data/images/110200720220621181724.jpg,양과자에 속하는 것 은 뭘까,프레첼,프레첼,"['프레첼', 'subject', '양과자']",
/home/aailab/kbvqa/data/images/110200820220621142215.jpg,이미지 속 음식은 어느 나라 요리니,캐나다 요리,도넛,"['도넛', 'subject', '캐나다_요리']",
/home/aailab/kbvqa/data/images/120100320220622161945.jpg,나비는 어떤 곤충이야,선훼아목,나비,"['나비', '아목', '선훼아목']",
/home/aailab/kbvqa/data/images/110200820220621142642.jpg,이미지 속 중국 요리는 무엇일까,도넛,도넛,"['도넛', 'subject', '중국_요리']=['도넛', 'subject', '도넛']",
/home/aailab/kbvqa/data/images/110101720220620182055.jpg,이미지 속 현명악기의 음역은 몇이야,135,바이올린,"['바이올린', 'subject', '현명악기']",
/home/aailab/kbvqa/data/images/110100520220620163821.jpg,드럼 세트는 무슨 악기에 속하니,타악기,드럼_세트,"['드럼_세트', 'subject', '타악기']",
/home/aailab/kbvqa/data/images/110100120220620132624.jpg,사람이 연주하고 있는 기명악기의 이름은 뭐야,아코디언,아코디언,"['아코디언', 'subject', '기명악기']",
/home/aailab/kbvqa/data/images/110100820220620160859.jpg,이미지 속에 현명악기는 뭐야,기타,기타,"['기타', 'subject', '현명악기']",
/home/aailab/kbvqa/data/images/110100520220620164011.jpg,드럼 세트는 무슨 악기니,타악기,드럼_세트,"['드럼_세트', 'subject', '타악기']",
/home/aailab/kbvqa/data/images/120100220220624114950.jpg,벌은 무슨 동물에 속하는 곤충일까,절지동물,벌_(곤충),"['벌_(곤충)', '문', '절지동물']",
/home/aailab/kbvqa/data/images/110200820220621140018.jpg,도넛은 어느 나라 요리니,캐나다 요리,도넛,"['도넛', 'subject', '캐나다_요리']",
/home/aailab/kbvqa/data/images/110101320220620112139.jpg,피아노는 어느 나라 발명품이야,이탈리아,피아노,"['피아노', 'subject', '이탈리아의_발명품']",
/home/aailab/kbvqa/data/images/110200820220621142509.jpg,이미지 속 캐나다 요리는 뭐야,도넛,도넛,"['도넛', 'subject', '캐나다_요리']",
/home/aailab/kbvqa/data/images/120100320220622155115.jpg,이미지 속에서 곤충과 동물에 모두 속하는 건 뭐지,나비,나비,"['나비', '강', '곤충']=['나비', '계', '동물']",
/home/aailab/kbvqa/data/images/110200720220621132851.jpg,프레첼은 무슨 나라의 음식이니,독일 ,프레첼,"['프레첼', 'subject', '독일_요리']",
/home/aailab/kbvqa/data/images/110101420220620135548.jpg,아돌프 삭스가 발명한 벨기에의 발명품은 뭐야,색소폰,색소폰,"['색소폰', 'subject', '벨기에의_발명품']=['색소폰', '발명가', '아돌프_삭스']",
/home/aailab/kbvqa/data/images/110200520220621173228.jpg,피자는 이탈리아의 무슨 지역에서 유래 했니,나폴리 지역,피자,"['피자', 'subject', '피자']",피자
/home/aailab/kbvqa/data/images/110400220220621135436.jpg,이미지 속 소방 설비는 무엇이니,소화전,소화전,"['소화전', 'subject', '소방_설비']",
/home/aailab/kbvqa/data/images/110101620220620160957.jpg,이미지에서 군악에 사용되며 음역이 180인 악기는 뭘까,트럼펫,트럼펫,"['트럼펫', 'subject', '군악']",
/home/aailab/kbvqa/data/images/120100220220624114222.jpg,벌은 무엇에 속하는 절지동물일까,벌목,벌_(곤충),"['벌_(곤충)', 'subject', '벌목']=['벌_(곤충)', '문', '절지동물']",
/home/aailab/kbvqa/data/images/120100220220622151114.jpg,벌은 무슨 동물이야,절지동물,벌_(곤충),"['벌_(곤충)', '문', '절지동물']",
/home/aailab/kbvqa/data/images/120100120220622141317.jpg,개미는 무엇에 해당할까,절지동물,개미,"['개미', '문', '절지동물']",
