img_path,question,answer,main_obj,Triple,Abstract
/home/aailab/kbvqa/data/images/110100720220620114213.jpg,이미지 속의 악기 이름은 뭐지,호른,호른,,
/home/aailab/kbvqa/data/images/110200720220621132140.jpg,프레첼 주변에 사람은 몇 명이야,3,프레첼,,
/home/aailab/kbvqa/data/images/110500320220622150258.jpg,화장실 주변에 의자는 몇 개야,1,화장실,,
/home/aailab/kbvqa/data/images/110400120220621174731.jpg,신호등 오른쪽 줄에 달린 물건은 뭐야,신발,신호등,,
/home/aailab/kbvqa/data/images/110200820220621142828.jpg,도넛은 어디에 담겨져 있니,접시,도넛,,
/home/aailab/kbvqa/data/images/110200820220621143016.jpg,몇 개의 도넛이 반으로 잘렸을까,1,도넛,,
/home/aailab/kbvqa/data/images/110200320220621155908.jpg,쟁반에 담긴 햄버거는 몇 개야,4,햄버거,,
/home/aailab/kbvqa/data/images/110200720220621133649.jpg,프레첼은 몇 개니,1,프레첼,,
/home/aailab/kbvqa/data/images/110100520220620160622.jpg,드럼 세트는 어디 위에 있니,돌,드럼_세트,,
/home/aailab/kbvqa/data/images/110101620220620154932.jpg,트럼펫을 쥐고 있는 사람은 몇 명이니,1,트럼펫,,
/home/aailab/kbvqa/data/images/110400320220621162529.jpg,이미지 속 교통 표지판은 어디에 달려 있어,기둥,교통표지,,
/home/aailab/kbvqa/data/images/110101020220621115115.jpg,하프를 무엇으로 연주하고 있니,손,하프,,
/home/aailab/kbvqa/data/images/110100120220620140906.jpg,아코디언에 부착된 마이크는 몇 개일까,1,아코디언,,
/home/aailab/kbvqa/data/images/110200920220621150409.jpg,그릇에 담긴 음식 이름은 뭐야,케이크,케이크,,
/home/aailab/kbvqa/data/images/120100420220622173631.jpg,이미지 속 날개가 달린 곤충은 무엇일까,잠자리,잠자리,,
/home/aailab/kbvqa/data/images/110101820220621132900.jpg,키보드는 어디 위에 있을까,케이크,키보드_(악기),,
/home/aailab/kbvqa/data/images/110200320220621160416.jpg,햄버거는 어디 위에 있니,쟁반,햄버거,,
/home/aailab/kbvqa/data/images/110500120220621171105.jpg,이미지 속 창의 모양은 무엇일까,사각형,창_(건축),,
/home/aailab/kbvqa/data/images/120100120220622144442.jpg,개미는 어디 위에 있어,쌀밥,개미,,
/home/aailab/kbvqa/data/images/120100320220622164931.jpg,나비는 몇 개의 더듬이가 있니,2,나비,,
/home/aailab/kbvqa/data/images/110200920220621144412.jpg,케이크를 담고 있는 것은 무엇이니,접시,케이크,,
/home/aailab/kbvqa/data/images/110100520220620181206.jpg,몇 개의 드럼 세트가 이미지 속에 있을까,1,드럼_세트,,
/home/aailab/kbvqa/data/images/110500220220622143842.jpg,이미지에서 문의 손잡이 개수는 몇 개야,3,문,,
/home/aailab/kbvqa/data/images/110101720220620182739.jpg,몇 개의 바이올린이 이미지 안에 있니,3,바이올린,,
/home/aailab/kbvqa/data/images/110200320220621153216.jpg,햄버거가 담긴 접시는 몇 개야,2,햄버거,,
/home/aailab/kbvqa/data/images/110200520220621170013.jpg,피자가 담겨 있는 그릇의 재질은 무엇이니,금속,피자,,
/home/aailab/kbvqa/data/images/110101820220621113006.jpg,스피커 아래에 있는 악기는 뭐니,키보드,키보드_(악기),,
/home/aailab/kbvqa/data/images/120100120220622140712.jpg,생선 뼈 주변에 있는 생물은 뭐니,개미,개미,,
/home/aailab/kbvqa/data/images/110101220220620154024.jpg,오보에는 몇 개니,2,오보에,,
/home/aailab/kbvqa/data/images/120100220220624114845.jpg,벌은 어디 위에 올라가 있어,꽃,벌_(곤충),,
/home/aailab/kbvqa/data/images/110100320220620153028.jpg,첼로를 쥐고 있는 사람의 성별은 뭐야,여자,첼로,,
/home/aailab/kbvqa/data/images/110101420220620135005.jpg,색소폰은 몇 개니,1,색소폰,,
/home/aailab/kbvqa/data/images/110300120220621163419.jpg,이미지 속 책을 쥐고 있는 손은 뭐야,오른손,책,,
/home/aailab/kbvqa/data/images/120100420220622183136.jpg,몇 마리의 잠자리가 있니,2,잠자리,,
/home/aailab/kbvqa/data/images/120100220220622153839.jpg,벌의 더듬이는 몇 개니,2,벌_(곤충),,
/home/aailab/kbvqa/data/images/110500220220622141144.jpg,문 손잡이는 어느 쪽에 달려 있니,오른쪽,문,,
/home/aailab/kbvqa/data/images/110100820220620162227.jpg,이미지 속 줄이 달린 악기 이름은 무엇일까,기타,기타,,
